id,name,location,city,state,interchange_railroads,capacity,hazmat_suited,rail_services,facility_types,track_types,about,url,scraped_at
123,Pittsburg Intermodal Terminal,"ambridge, PA",ambridge,PA,NS,100 total spaces,Yes,none provided,Short Line,none provided,"Transloading Facility, Warehouse facility",https://www.commtrex.com/railcar-storage/location/123.html,2026-02-10T02:20:38.989629
197,Allegheny Valley Railroad Company,"Oakmont, PA",Oakmont,PA,"CSX, NS",60 total spaces,No,Cherry Picking,"Short Line, Storage Yard","FILO, Ladder","AVR offers connectivity to CSXT, NS, W&LE, and BPRR.",https://www.commtrex.com/railcar-storage/location/197.html,2026-02-10T02:20:41.444209
235,Gettysburg and Northern Railway (GET),"Gettysburg, PA",Gettysburg,PA,"CSX, NS",100 total spaces,Yes,"Cherry Picking, Cleaning, Railcar Maintenance, Railcar Repair","Repair Shop, Short Line",none provided,"Dual connection on the east coast, well suited for single car storage.",https://www.commtrex.com/railcar-storage/location/235.html,2026-02-10T02:20:43.883214
35,Charleston,"Charleston, SC",Charleston,SC,"CSX, NS",100 total spaces,No,none provided,"Plant/Mining Site, Storage Yard",Ladder,,https://www.commtrex.com/railcar-storage/location/35.html,2026-02-10T02:20:46.459217
336,Carolina Piedmont Railroad,"Laurens, SC",Laurens,SC,CN,-- total spaces,No,none provided,Short Line,none provided,,https://www.commtrex.com/railcar-storage/location/336.html,2026-02-10T02:20:49.029603
399,Pickens Railway,"Anderson, SC",Anderson,SC,NS,300 total spaces,No,none provided,Short Line,none provided,We are a direct interchange with Norfolk Southern and have a indirect interchange with CSXT through another short line RR.,https://www.commtrex.com/railcar-storage/location/399.html,2026-02-10T02:20:51.477302
625,South Carolina Central Railroad,"Darlington, SC",Darlington,SC,CSX,90 total spaces,Yes,none provided,"Repair Shop, Short Line, Storage Yard",none provided,,https://www.commtrex.com/railcar-storage/location/625.html,2026-02-10T02:20:53.898065
520,Yale,"Yale, SD",Yale,SD,"BNSF, CP, UP",140 total spaces,No,none provided,none provided,none provided,,https://www.commtrex.com/railcar-storage/location/520.html,2026-02-10T02:20:56.429619
725,Ringneck & Western Railroad,"Mitchell, SD",Mitchell,SD,BNSF,400 total spaces,Yes,Cherry Picking,"Short Line, Storage Yard","FILO, Ladder","Class I Interchange Point
BNSF @ Mitchell, SD",https://www.commtrex.com/railcar-storage/location/725.html,2026-02-10T02:20:58.855136
523,"Rapid City, Pierre & Eastern Railroad","Rapid City, SD",Rapid City,SD,"BNSF, CP, UP","3,000 total spaces",No,none provided,none provided,none provided,,https://www.commtrex.com/railcar-storage/location/523.html,2026-02-10T02:21:01.305635
146,D & I Railroad,"Sioux Falls, SD",Sioux Falls,SD,"BNSF, CN, UP",140 total spaces,No,none provided,Short Line,none provided,"The D & I operates from Dell Rapids, SD to Sioux City, IA on company controlled track and via trackage rights with BNSF Railway. We offer service to Dell Rapids, Sioux Falls, Canton, Beresford, Hawarden, Sioux City, and all locations in between.",https://www.commtrex.com/railcar-storage/location/146.html,2026-02-10T02:21:03.816630
183,"Tennken Railroad Company, Inc.","Dyersburg, TN",Dyersburg,TN,CN,180 total spaces,No,"Cherry Picking, Cleaning, Railcar Maintenance, Railcar Repair","Short Line, Storage Yard",none provided,,https://www.commtrex.com/railcar-storage/location/183.html,2026-02-10T02:21:06.249869
129,Caney Fork & Western Railroad,"McMinnville, TN",McMinnville,TN,CSX,125 total spaces,Yes,"Cherry Picking, Painting, Railcar Maintenance","Short Line, Storage Yard",FILO,,https://www.commtrex.com/railcar-storage/location/129.html,2026-02-10T02:21:08.746020
19,"Kingsport, Tennessee","Kingsport, TN",Kingsport,TN,"CSX, NS",900 total spaces,No,"Painting, Railcar Repair, Stripe Aligning",none provided,none provided,,https://www.commtrex.com/railcar-storage/location/19.html,2026-02-10T02:21:11.267689
57,KWT Railway,"Paris, TN",Paris,TN,CSX,200 total spaces,No,none provided,Short Line,none provided,,https://www.commtrex.com/railcar-storage/location/57.html,2026-02-10T02:21:13.801019
435,Union City Terminal Railroad - UCT,"Union City, TN",Union City,TN,CN,150 total spaces,Yes,"Cherry Picking, Cleaning, Railcar Maintenance, Railcar Repair","Repair Shop, Short Line, Storage Yard",Ladder,"Union City Terminal offers daily service, providing railcar cleaning, repair, storage and multiple transload locations. UCT is located only 115 miles north of Memphis, TN and interchanges with Canadian National at Rives, TN.",https://www.commtrex.com/railcar-storage/location/435.html,2026-02-10T02:21:16.290856
345,"East Tennessee Railway, L.P.","Johnson City, TN",Johnson City,TN,"CSX, NS",-- total spaces,No,none provided,Short Line,none provided,,https://www.commtrex.com/railcar-storage/location/345.html,2026-02-10T02:21:18.781064
555,WTNN Rail Yard,"Jackson, TN",Jackson,TN,"CN, CSX, KCS, NS",200 total spaces,No,Cherry Picking,"Short Line, Storage Yard",none provided,,https://www.commtrex.com/railcar-storage/location/555.html,2026-02-10T02:21:21.252884
579,WM Dewey Big Bend Yard,"Houston, TX",Houston,TX,"BNSF, UP",16 total spaces,No,none provided,Storage Yard,FILO,"WM Dewey has a 16 car private spur off of a main line that is served by BNSF & Union Pacific. 

Services Provided:
Transloading
Railcar Storage
Material Storage on 65 acre yard (covered storage available)
Flatbed trucking services
Pettibones/Forklifts available",https://www.commtrex.com/railcar-storage/location/579.html,2026-02-10T02:21:23.673594
585,Orange Terminal,"Orange, TX",Orange,TX,UP,"1,152 total spaces",Yes,"Cherry Picking, Cleaning, Railcar Maintenance, Railcar Repair, Recertification",Storage Yard,"Ladder, Loop",Storage Yard tied into Eagle Railcar Services.,https://www.commtrex.com/railcar-storage/location/585.html,2026-02-10T02:21:26.112336
586,Central Texas & Colorado River Railway,"Brady, TX",Brady,TX,BNSF,600 total spaces,No,none provided,none provided,FILO,"The Central Texas & Colorado River Railway, LLC (CTXR), formerly known as the Heart of Texas Railroad, is a Class III railroad operating freight rail services between Brady and Lometa, TX over 68 miles of track. The CTXR has a direct Class I interchange in Lometa, TX with the BNSF Railway. CTXR current traffic includes grain, feed, building products, aggregates, and “industrial sand” frac sand. Given OmniTRAX’s experience and expertise in handling a more diverse and specialized commodity mix across its portfolio, the CTXR is ready to diversify and reinforce its traffic handling capabilities.",https://www.commtrex.com/railcar-storage/location/586.html,2026-02-10T02:21:28.571039
582,Iron Horse - Beaumont,"BEAUMONT, TX",BEAUMONT,TX,"BNSF, UP","1,400 total spaces",Yes,"Cherry Picking, Cleaning, Painting, Railcar Maintenance, Railcar Repair","Repair Shop, Storage Yard","Ladder, Loop","1400 Car, Dual Served (UP/BNSF) yard with repair, cleaning, and transload capabilities.",https://www.commtrex.com/railcar-storage/location/582.html,2026-02-10T02:21:31.029402
595,"Corpus Christi Polymers, LLC","Corpus Christi, TX",Corpus Christi,TX,"BNSF, KCS, UP",250 total spaces,No,"Cherry Picking, Railcar Maintenance",Storage Yard,FILO,"Cherry picking available by a third party
2 tracks with side streets  for minor Maintenance Repair Unit access",https://www.commtrex.com/railcar-storage/location/595.html,2026-02-10T02:21:33.516135
599,Greens Port,"Houston, TX",Houston,TX,"BNSF, KCS, UP","1,500 total spaces",Yes,"Cherry Picking, Cleaning, Painting, Railcar Maintenance, Railcar Repair",Storage Yard,"Ladder, Loop","Greens Port is located on 735 acres on the Houston Ship Channel in Harris County, Texas. It is the largest private multi-tenanted industrial park in the Gulf Coast market.  With 31 miles of track, 24/7 security, and guaranteed same day delivery. Greens Port offers deep water and barge docks along the Houston Ship channel through non-union stevedores. Greens Port provides approximately 3.3 million square feet of indoor warehousing that feature large bay widths, numerous cranes ranging from 5 to 75 ton capacity, the ability to clear heights ranging from 20 to 45 feet, and heavy floor loading capacity. Direct rail service to buildings and storage yards is also available.",https://www.commtrex.com/railcar-storage/location/599.html,2026-02-10T02:21:35.979927
541,GRS Cleburne,"Cleburne, TX",Cleburne,TX,BNSF,250 total spaces,No,"Cherry Picking, Cleaning, Painting, Railcar Repair, Recertification",Repair Shop,"FILO, Ladder",,https://www.commtrex.com/railcar-storage/location/541.html,2026-02-10T02:21:38.494876
545,La Salle Railway,"Encinal, TX",Encinal,TX,UP,300 total spaces,Yes,Cherry Picking,Storage Yard,Ladder,"La Salle Railway is located about 40 miles north of the Laredo, Texas/Mexico border and has capacity to store 300 railcars. It offers sand and dry good transloading and is suited for HazMat storage.",https://www.commtrex.com/railcar-storage/location/545.html,2026-02-10T02:21:40.992821
546,RCR Hempstead Logistics Rail Park,"Hempstead, TX",Hempstead,TX,UP,50 total spaces,No,Cherry Picking,Storage Yard,Ladder,"RCR Rail Logistics Park is a 137-acre rail park located in Hempstead, Texas:

•	Service By Class 1 Union Pacific
•	Distribution and Logistics
•	137 acres
•	Manifest and Transloading Services
•	Proximity to the Interstate Highway system (I-10, I-45, I-35)
•	Central to markets in Texas, Mexico and Louisiana
•	Motivated an skilled workforce available
•	New Market Tax Credit and Opportunity Zone",https://www.commtrex.com/railcar-storage/location/546.html,2026-02-10T02:21:43.593116
567,Attebury Amarillo TX - Hollywood Rd,"Amarillo, TX",Amarillo,TX,"BNSF, UP",100 total spaces,No,none provided,Plant/Mining Site,Ladder,,https://www.commtrex.com/railcar-storage/location/567.html,2026-02-10T02:21:46.046438
568,Attebury Claude TX,"Claude, TX",Claude,TX,BNSF,91 total spaces,No,none provided,Plant/Mining Site,Ladder,,https://www.commtrex.com/railcar-storage/location/568.html,2026-02-10T02:21:48.502547
569,Attebury White Deer TX,"White Deer, TX",White Deer,TX,BNSF,60 total spaces,No,none provided,Plant/Mining Site,Ladder,,https://www.commtrex.com/railcar-storage/location/569.html,2026-02-10T02:21:50.945066
570,Attebury Wichita Falls TX,"Wichita Falls, TX",Wichita Falls,TX,BNSF,50 total spaces,No,none provided,Plant/Mining Site,Ladder,,https://www.commtrex.com/railcar-storage/location/570.html,2026-02-10T02:21:53.392400
571,Attebury Tulia TX,"Tulia, TX",Tulia,TX,BNSF,50 total spaces,No,none provided,Plant/Mining Site,Ladder,,https://www.commtrex.com/railcar-storage/location/571.html,2026-02-10T02:21:55.818994
572,Attebury Lubbock TX - North,"Lubbock, TX",Lubbock,TX,"BNSF, UP",75 total spaces,No,none provided,Plant/Mining Site,Ladder,,https://www.commtrex.com/railcar-storage/location/572.html,2026-02-10T02:21:58.289562
573,Attebury Amarillo TX - Pullman Rd,"AMARILLO, TX",AMARILLO,TX,"BNSF, UP",10 total spaces,No,none provided,Plant/Mining Site,none provided,,https://www.commtrex.com/railcar-storage/location/573.html,2026-02-10T02:22:00.754079
574,Attebury Black TX,"Black, TX",Black,TX,BNSF,50 total spaces,No,none provided,Plant/Mining Site,Ladder,,https://www.commtrex.com/railcar-storage/location/574.html,2026-02-10T02:22:03.327134
575,Attebury Ft Worth TX - D Terminal Rd,"Ft Worth, TX",Ft Worth,TX,"BNSF, UP",50 total spaces,No,none provided,Plant/Mining Site,Ladder,,https://www.commtrex.com/railcar-storage/location/575.html,2026-02-10T02:22:05.779563
576,Attebury Ft Worth TX - F Main St,"Ft Worth, TX",Ft Worth,TX,"BNSF, UP",25 total spaces,No,none provided,Plant/Mining Site,Ladder,,https://www.commtrex.com/railcar-storage/location/576.html,2026-02-10T02:22:08.274247
548,"Pecos, TX","Pecos, TX",Pecos,TX,UP,220 total spaces,Yes,none provided,Storage Yard,Loop,"This site was built 3 years ago for frac sand transloading and is now available for railcar storage of various kinds, including loaded and empty crude tank cars, gons, flats, hoppers, etc.",https://www.commtrex.com/railcar-storage/location/548.html,2026-02-10T02:22:10.855296
549,"Sweetwater, TX","Sweetwater, TX",Sweetwater,TX,BNSF,90 total spaces,No,none provided,Storage Yard,Ladder,Two ladder tracks available to store non-hazmat railcars (loaded/empty),https://www.commtrex.com/railcar-storage/location/549.html,2026-02-10T02:22:13.339629
550,"Big Lake, TX","Big Lake, TX",Big Lake,TX,"BNSF, UP",444 total spaces,Yes,none provided,Storage Yard,"Ladder, Loop","Served by the TXPF, this facility can be reached by the BSNF and UP",https://www.commtrex.com/railcar-storage/location/550.html,2026-02-10T02:22:15.862618
551,"Barnhart, TX","Barnhart, TX",Barnhart,TX,"BNSF, UP",130 total spaces,Yes,none provided,Storage Yard,Ladder,"Served by the TXPF, this facility can be reached by the BSNF and UP",https://www.commtrex.com/railcar-storage/location/551.html,2026-02-10T02:22:18.341912
627,Texas Northeastern Railroad,"Garland, TX",Garland,TX,"BNSF, UP",168 total spaces,Yes,none provided,"Short Line, Storage Yard",none provided,,https://www.commtrex.com/railcar-storage/location/627.html,2026-02-10T02:22:20.783055
639,REXtac LLC,"Odessa, TX",Odessa,TX,UP,50 total spaces,Yes,Cherry Picking,Plant/Mining Site,"FILO, Ladder",,https://www.commtrex.com/railcar-storage/location/639.html,2026-02-10T02:22:23.283831
649,Port of Beaumont,"Beaumont, TX",Beaumont,TX,"BNSF, KCS, UP",200 total spaces,No,Cherry Picking,Storage Yard,Ladder,The Port of Beaumont is a public port and we have additional rail storage capability.,https://www.commtrex.com/railcar-storage/location/649.html,2026-02-10T02:22:25.782470
694,Texas North Western Railway,"Sunray, TX",Sunray,TX,BNSF,"12,000 total spaces",Yes,"Cherry Picking, Cleaning, Railcar Maintenance, Railcar Repair, Recertification, Stripe Aligning","Repair Shop, Short Line, Storage Yard","Ladder, Loop",,https://www.commtrex.com/railcar-storage/location/694.html,2026-02-10T02:22:28.217877
689,TGS Cedar Port,"BAYTOWN, TX",BAYTOWN,TX,"BNSF, UP","5,000 total spaces",Yes,"Cherry Picking, Cleaning, Railcar Maintenance, Railcar Repair",Storage Yard,"FILO, Ladder","Located adjacent to Baytown, TX, TGS Cedar Port Industrial Park is the largest master-planned rail-and-barge-served industrial park in the USA. TGS Cedar Port Industrial Park spans 15,000 acres, with over 10,000 acres available for development. The park is an ideal location for light or heavy industrial use, manufacturing of all types, waterfront operations, and warehouse/distribution operations. Over 100 miles of dual service operating track within the park owned and operated by TGS Cedar Port Partners. Railcar transloading, cleaning, and repair facilities located onsite and in development.",https://www.commtrex.com/railcar-storage/location/689.html,2026-02-10T02:22:30.671467
687,Istmo Terminal,"Pecos, TX",Pecos,TX,UP,120 total spaces,Yes,none provided,Storage Yard,Loop,Storage and Transloading Capabilities.,https://www.commtrex.com/railcar-storage/location/687.html,2026-02-10T02:22:33.068238
675,Texas & Eastern Railroad,"Rusk, TX",Rusk,TX,UP,300 total spaces,Yes,"Cherry Picking, Railcar Maintenance, Railcar Repair, Recertification, Stripe Aligning","Repair Shop, Short Line, Storage Yard","FILO, Ladder","Jaguar Transport is a multi-commodity logistic company specializing in railroad, transloading, warehousing, and supply chain logistics.  We are willing to partner and invest with new and existing customers to assist with capital and logistics with a ""Can Do Attitude"" to bring value and solutions to our business partners.",https://www.commtrex.com/railcar-storage/location/675.html,2026-02-10T02:22:35.535268
663,"Pecos, TX","Pecos, TX",Pecos,TX,UP,125 total spaces,Yes,Cherry Picking,Storage Yard,Loop,,https://www.commtrex.com/railcar-storage/location/663.html,2026-02-10T02:22:38.005425
726,Pecos Valley Southern Railroad,"Pecos, TX",Pecos,TX,UP,150 total spaces,No,none provided,"Short Line, Storage Yard",FILO,"Class I Interchange Point
UP @ Pecos, TX",https://www.commtrex.com/railcar-storage/location/726.html,2026-02-10T02:22:40.444663
